n,k,h,alpha,gamma,nominal_r,effective_r,signal_label,signal,delta,I,D,R,signal_over_I,signal_over_D,signal_over_R,trials,trim_recovery_rate,detection_rate,overtrim_rate,undertrim_rate,adaptive_interlock_failure_rate,contamination_cost,contamination_cost_se,estimator,usable_trials,failure_rate,mean,bias,variance,mse,rmse,mse_se,benefit_vs_contaminated_hill,benefit_vs_contaminated_hill_se
50000,223,10,0.008542072972012553,0.5,5,5,0.5R,3.7332961307670196,2.109939398854332,1.1307827929229566,3.532668328430944,7.466592261534039,3.3015148038438356,1.0567921422799365,0.5,5000,0.931,0.9348,0.0038,0.0652,0.0,0.0002519892673065262,1.5816946029989493e-05,harmonic_moment_beta_2,5000,0.0,0.5015846984851364,0.001584698485136381,0.0015215669637255141,0.0015237739196215627,0.039035546872326035,3.109296791481288e-05,-0.00015551044871281073,2.4039934687319037e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5R,11.199888392301059,9.393121616164807,1.1307827929229566,3.532668328430944,7.466592261534039,9.904544411531507,3.1703764268398094,1.5,5000,0.9938,1.0,0.0062,0.0,0.0,0.002535659048200625,4.6998463536297155e-05,hill,5000,0.0,0.550355500351419,0.050355500351419,0.0010946106514984485,0.003630068145009909,0.06025004684653705,5.2858523059397825e-05,0.0,0.0
50000,223,10,0.008542072972012553,0.5,5,5,1.5R,11.199888392301059,9.393121616164807,1.1307827929229566,3.532668328430944,7.466592261534039,9.904544411531507,3.1703764268398094,1.5,5000,0.9938,1.0,0.0062,0.0,0.0,0.002535659048200625,4.6998463536297155e-05,oracle_trimmed_hill,5000,0.0,0.5001533833443742,0.000153383344374148,0.001125680968258299,0.0011254793585149787,0.033548164756287024,2.254029529976881e-05,0.00250458878649493,4.711917414761533e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5R,11.199888392301059,9.393121616164807,1.1307827929229566,3.532668328430944,7.466592261534039,9.904544411531507,3.1703764268398094,1.5,5000,0.9938,1.0,0.0062,0.0,0.0,0.002535659048200625,4.6998463536297155e-05,adaptive_trimmed_hill,5000,0.0,0.5000504956939169,5.049569391695503e-05,0.0011251445532913843,0.0011249220741958305,0.03353985799307788,2.2555292567526822e-05,0.0025051460708140783,4.720039834106789e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5R,11.199888392301059,9.393121616164807,1.1307827929229566,3.532668328430944,7.466592261534039,9.904544411531507,3.1703764268398094,1.5,5000,0.9938,1.0,0.0062,0.0,0.0,0.002535659048200625,4.6998463536297155e-05,harmonic_moment_beta_0.5,5000,0.0,0.5156885022964176,0.015688502296417637,0.0011264733270271755,0.0013723771366664715,0.037045608871585194,2.8055141432638673e-05,0.002257691008343437,3.382674257150942e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5R,11.199888392301059,9.393121616164807,1.1307827929229566,3.532668328430944,7.466592261534039,9.904544411531507,3.1703764268398094,1.5,5000,0.9938,1.0,0.0062,0.0,0.0,0.002535659048200625,4.6998463536297155e-05,harmonic_moment_beta_1,5000,0.0,0.5057807907802484,0.005780790780248357,0.0012396554704838445,0.0012728250814347522,0.03567667419245735,2.6407458204403222e-05,0.0023572430635751566,4.3191912355999e-05
50000,223,10,0.008542072972012553,0.5,5,5,1.5R,11.199888392301059,9.393121616164807,1.1307827929229566,3.532668328430944,7.466592261534039,9.904544411531507,3.1703764268398094,1.5,5000,0.9938,1.0,0.0062,0.0,0.0,0.002535659048200625,4.6998463536297155e-05,harmonic_moment_beta_2,5000,0.0,0.5022657810526087,0.0022657810526087526,0.001495226233053938,0.001500060951585688,0.03873062033566837,3.1320739556423986e-05,0.0021300071934242204,4.836835616517589e-05
50000,223,10,0.008542072972012553,0.5,10,0,0,0.0,1.0,1.6178290676146165,3.532668328430944,7.466592261534039,0.0,0.0,0.0,5000,0.9922,0.0078,0.0078,0.0,0.0,0.0,0.0,hill,5000,0.0,0.49977398475447116,-0.00022601524552886968,0.0011524927010835599,0.0011523132854345543,0.033945740313543825,2.3382348102883782e-05,0.0,0.0
50000,223,10,0.008542072972012553,0.5,10,0,0,0.0,1.0,1.6178290676146165,3.532668328430944,7.466592261534039,0.0,0.0,0.0,5000,0.9922,0.0078,0.0078,0.0,0.0,0.0,0.0,oracle_trimmed_hill,5000,0.0,0.49977398475447116,-0.00022601524552886968,0.0011524927010835599,0.0011523132854345543,0.033945740313543825,2.3382348102883782e-05,0.0,0.0
50000,223,10,0.008542072972012553,0.5,10,0,0,0.0,1.0,1.6178290676146165,3.532668328430944,7.466592261534039,0.0,0.0,0.0,5000,0.9922,0.0078,0.0078,0.0,0.0,0.0,0.0,adaptive_trimmed_hill,5000,0.0,0.4996478163779633,-0.0003521836220366782,0.0011543865416401863,0.001154279697635489,0.03397469201678639,2.33827057242941e-05,-1.966412200934589e-06,1.4729705679268347e-06
